FAIL	./app/scripts/main.js (51)
./app/scripts/modules/core/game.js:62:11	Combine this with the previous 'var' statement.
./app/scripts/modules/core/game.js:63:9	Expected 'x' at column 29, not column 9.
./app/scripts/modules/core/game.js:64:9	Expected 'y' at column 29, not column 9.
./app/scripts/modules/core/game.js:65:9	Expected 'angle' at column 29, not column 9.
./app/scripts/modules/core/game.js:65:9	Too many errors. (52% scanned).
FAIL	./app/scripts/modules/core/models/Archer.js (34)
./app/scripts/modules/core/models/Archer.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/models/Archer.js:4:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/models/Archer.js:5:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/models/Archer.js:5:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/models/Archer.js:11:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/models/Archer.js:11:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/models/Archer.js:12:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/Archer.js:13:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/Archer.js:14:7	Expected 'amount' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:15:7	Expected 'isEmpty' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:16:9	Expected 'return' at column 21, not column 9.
./app/scripts/modules/core/models/Archer.js:17:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:18:7	Expected 'pick' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:19:9	Expected 'if' at column 21, not column 9.
./app/scripts/modules/core/models/Archer.js:20:11	Expected 'this' at column 25, not column 11.
./app/scripts/modules/core/models/Archer.js:20:22	Unexpected '--'.
./app/scripts/modules/core/models/Archer.js:21:11	Expected 'return' at column 25, not column 11.
./app/scripts/modules/core/models/Archer.js:22:9	Expected '}' at column 21, not column 9.
./app/scripts/modules/core/models/Archer.js:23:9	Expected 'return' at column 21, not column 9.
./app/scripts/modules/core/models/Archer.js:24:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:25:7	Expected 'collect' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:26:9	Expected 'this' at column 21, not column 9.
./app/scripts/modules/core/models/Archer.js:26:20	Unexpected '++'.
./app/scripts/modules/core/models/Archer.js:27:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:28:7	Expected 'full' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:29:9	Expected 'this' at column 21, not column 9.
./app/scripts/modules/core/models/Archer.js:30:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/models/Archer.js:31:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/models/Archer.js:32:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/Archer.js:33:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/Archer.js:34:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/Archer.js:39:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/Archer.js:40:3	Expected '}' at column 9, not column 3.
./app/scripts/modules/core/models/Archer.js:42:3	Expected 'return' at column 5, not column 3.
FAIL	./app/scripts/modules/core/renderers.js (19)
./app/scripts/modules/core/renderers.js:2:2	Unexpected character '(space)'.
./app/scripts/modules/core/renderers.js:3:3	Missing 'use strict' statement.
./app/scripts/modules/core/renderers.js:4:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/renderers.js:10:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/renderers.js:10:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/renderers.js:11:5	Expected 'pixi' at column 13, not column 5.
./app/scripts/modules/core/renderers.js:12:7	Expected 'el' at column 17, not column 7.
./app/scripts/modules/core/renderers.js:13:7	Expected 'width' at column 17, not column 7.
./app/scripts/modules/core/renderers.js:14:7	Expected 'height' at column 17, not column 7.
./app/scripts/modules/core/renderers.js:15:7	Expected 'meta' at column 17, not column 7.
./app/scripts/modules/core/renderers.js:16:7	Expected 'styles' at column 17, not column 7.
./app/scripts/modules/core/renderers.js:17:9	Expected 'convex-polygon' at column 21, not column 9.
./app/scripts/modules/core/renderers.js:18:11	Expected 'lineWidth' at column 25, not column 11.
./app/scripts/modules/core/renderers.js:19:11	Expected 'alpha' at column 25, not column 11.
./app/scripts/modules/core/renderers.js:20:9	Expected '}' at column 21, not column 9.
./app/scripts/modules/core/renderers.js:21:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/renderers.js:22:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/renderers.js:23:3	Expected '}' at column 9, not column 3.
./app/scripts/modules/core/renderers.js:25:3	Expected 'return' at column 5, not column 3.
FAIL	./app/scripts/modules/core/models/maps/TwilightSpire.js (51)
./app/scripts/modules/core/models/maps/TwilightSpire.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/models/maps/TwilightSpire.js:7:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/models/maps/TwilightSpire.js:8:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/maps/TwilightSpire.js:9:7	Expected 'green' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:10:9	Expected 'x' at column 21, not column 9.
./app/scripts/modules/core/models/maps/TwilightSpire.js:11:9	Expected 'y' at column 21, not column 9.
./app/scripts/modules/core/models/maps/TwilightSpire.js:12:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:13:7	Expected 'red' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:14:9	Expected 'x' at column 21, not column 9.
./app/scripts/modules/core/models/maps/TwilightSpire.js:15:9	Expected 'y' at column 21, not column 9.
./app/scripts/modules/core/models/maps/TwilightSpire.js:16:7	Expected '}' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:17:5	Expected '}' at column 13, not column 5.
./app/scripts/modules/core/models/maps/TwilightSpire.js:19:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/models/maps/TwilightSpire.js:20:7	Expected 'x' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:21:7	Expected 'y' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:22:7	Expected 'width' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:23:7	Expected 'height' at column 17, not column 7.
./app/scripts/modules/core/models/maps/TwilightSpire.js:24:5	Expected '}' at column 13, not column 5.
